Date, Open, High, Low, Close, Adj, Volume
Nov 03 2023,3351.00,3378.50,3385.40,3347.50,1.40M,-0.27%
Nov 02 2023,3360.10,3343.20,3375.95,3343.20,1.25M,0.88%
Nov 01 2023,3330.65,3355.00,3371.60,3311.00,1.56M,-1.13%
Oct 31 2023,3368.75,3399.00,3399.00,3350.05,999.81K,-0.29%
Oct 30 2023,3378.55,3350.00,3382.85,3333.75,910.97K,0.82%
Oct 27 2023,3350.95,3350.00,3362.00,3337.00,1.11M,0.43%
Oct 26 2023,3336.75,3368.05,3373.70,3330.00,1.98M,-1.57%
Oct 25 2023,3390.10,3390.50,3425.00,3377.20,1.52M,-0.59%
Oct 23 2023,3410.15,3473.00,3478.95,3401.30,1.11M,-2.42%
Oct 20 2023,3494.55,3450.40,3499.50,3444.05,1.48M,1.13%
Oct 19 2023D,3455.65,3469.50,3476.85,3451.90,1.51M,-0.91%
Oct 18 2023,3487.25,3511.00,3522.70,3484.00,1.41M,-0.56%
Oct 17 2023,3507.05,3530.00,3534.15,3503.35,1.67M,-0.48%
Oct 16 2023,3524.05,3566.00,3574.65,3519.10,1.67M,-1.31%
Oct 13 2023,3570.85,3530.00,3577.00,3525.00,2.89M,0.80%
Oct 12 2023,3542.55,3575.00,3588.65,3538.10,4.24M,-1.87%
Oct 11 2023E,3609.90,3650.00,3650.00,3605.00,2.43M,-0.52%
Oct 10 2023,3628.90,3640.05,3648.00,3601.35,1.85M,-0.26%
Oct 09 2023,3638.35,3645.05,3679.00,3631.00,4.23M,0.47%
Oct 06 2023,3621.40,3591.00,3634.95,3575.05,2.08M,0.89%
Oct 05 2023,3589.35,3554.00,3624.00,3551.20,2.99M,1.46%
Oct 04 2023,3537.75,3486.30,3548.00,3477.30,1.79M,0.68%
Oct 03 2023,3513.85,3534.20,3534.20,3480.10,1.95M,-0.42%
Sep 29 2023,3528.60,3537.20,3568.45,3505.55,2.24M,-0.23%
Sep 28 2023,3536.75,3600.00,3602.80,3527.35,1.76M,-1.46%
Sep 27 2023,3589.30,3590.00,3614.00,3555.70,1.54M,0.10%
Sep 26 2023,3585.70,3567.60,3594.95,3536.00,1.73M,0.24%
Sep 25 2023,3577.15,3602.50,3620.00,3558.65,1.24M,-0.74%
Sep 22 2023,3603.65,3584.00,3633.75,3565.05,1.99M,0.51%
Sep 21 2023,3585.30,3588.55,3605.00,3528.00,2.00M,-0.58%
Sep 20 2023,3606.05,3580.00,3625.00,3580.00,1.65M,-0.00%
Sep 18 2023,3606.15,3580.05,3619.30,3575.25,1.40M,0.22%
Sep 15 2023,3598.30,3567.85,3607.35,3562.45,2.95M,1.07%
Sep 14 2023,3560.05,3570.05,3597.70,3545.60,2.60M,-0.22%
Sep 13 2023,3567.85,3571.10,3588.85,3545.00,1.75M,-0.36%
Sep 12 2023,3580.80,3492.00,3589.90,3483.00,4.48M,2.88%
Sep 11 2023,3480.65,3462.00,3485.70,3445.00,1.78M,1.13%
Sep 08 2023,3441.90,3455.25,3465.00,3435.05,1.52M,-0.39%
Sep 07 2023,3455.25,3430.80,3460.00,3422.30,1.89M,0.74%
Sep 06 2023,3429.90,3434.00,3443.90,3398.10,1.31M,0.02%
Sep 05 2023,3429.35,3420.00,3447.00,3405.15,1.50M,0.32%
Sep 04 2023,3418.50,3378.00,3432.85,3370.05,1.83M,1.16%
Sep 01 2023,3379.20,3366.00,3389.00,3356.80,1.28M,0.67%
Aug 31 2023,3356.80,3401.00,3417.40,3343.65,3.42M,-1.01%
Aug 30 2023,3390.95,3398.00,3408.10,3383.05,1.19M,0.44%
Aug 29 2023,3376.15,3381.05,3389.55,3365.00,944.52K,0.02%
Aug 28 2023,3375.55,3394.00,3394.00,3360.10,1.04M,-0.17%
Aug 25 2023,3381.30,3375.00,3385.80,3350.25,1.16M,-0.19%
Aug 24 2023,3387.75,3408.00,3413.05,3378.10,1.15M,-0.31%
Aug 23 2023,3398.25,3388.00,3402.00,3376.00,1.33M,0.48%
Aug 22 2023,3382.15,3400.00,3411.00,3365.05,1.22M,-0.57%
Aug 21 2023,3401.65,3375.00,3409.75,3372.00,1.38M,1.03%
Aug 18 2023,3367.10,3410.00,3410.00,3356.50,2.53M,-2.00%
Aug 17 2023,3435.75,3455.00,3460.80,3413.20,1.84M,-0.65%
Aug 16 2023,3458.40,3450.00,3466.00,3435.20,1.33M,0.25%
Aug 14 2023,3449.85,3440.70,3455.00,3411.00,1.19M,0.03%
